code,dividPreNoticeDate,dividAgmPumDate,dividPlanAnnounceDate,dividPlanDate,dividRegistDate,dividOperateDate,dividPayDate,dividStockMarketDate,dividCashPsBeforeTax,dividCashPsAfterTax,dividStocksPs,dividCashStock,dividReserveToStockPs,dividend_per_share,ex_date
sh.601318,,2020-04-10,2020-02-21,2020-04-29,2020-05-07,2020-05-08,2020-05-08,,1.3,1.17或1.3,0.000000,10派13元（含税，扣税后11.7或13元）,,1.3,2020-05-07
sh.601318,,,2020-08-28,2020-09-10,2020-09-15,2020-09-16,2020-09-16,,0.8,0.72或0.8,0.000000,10派8元（含税，扣税后7.2或8元）,,0.8,2020-09-15
sh.601318,,2021-03-26,2021-02-04,2021-04-15,2021-04-21,2021-04-22,2021-04-22,,1.4,1.26或1.4,0.000000,10派14元（含税，扣税后12.6或14元）,,1.4,2021-04-21
sh.601318,,,2021-08-27,2021-10-16,2021-10-22,2021-10-25,2021-10-25,,0.88,0.792或0.88,0.000000,10派8.8元（含税，扣税后7.92或8.8元）,,0.88,2021-10-22
sh.601318,,2022-04-30,2022-03-18,2022-06-11,2022-06-17,2022-06-20,2022-06-20,,1.5,1.35或1.5,0.000000,10派15元（含税，扣税后13.5或15元）,,1.5,2022-06-17
sh.601318,,,2022-08-24,2022-10-13,2022-10-19,2022-10-20,2022-10-20,,0.92,0.828或0.92,0.000000,10派9.2元（含税，扣税后8.28或9.2元）,,0.92,2022-10-19
sh.601318,,2023-05-13,2023-03-16,2023-06-07,2023-06-13,2023-06-14,2023-06-14,,1.5,1.35或1.5,0.000000,10派15元（含税，扣税后13.5或15元）,,1.5,2023-06-13
sh.601318,,,2023-08-30,2023-10-18,2023-10-24,2023-10-25,2023-10-25,,0.93,0.837或0.93,0.000000,10派9.3元（含税，扣税后8.37或9.3元）,,0.93,2023-10-24
sh.601318,,2024-05-31,2024-03-22,2024-07-19,2024-07-25,2024-07-26,2024-07-26,,1.5,1.35或1.5,0.000000,10派15元（含税，扣税后13.5或15元）,,1.5,2024-07-25
sh.601318,,,2024-08-23,2024-10-11,2024-10-17,2024-10-18,2024-10-18,,0.93,0.837或0.93,0.000000,10派9.3元（含税，扣税后8.37或9.3元）,,0.93,2024-10-17
sh.601318,,2025-05-14,2025-03-20,2025-06-20,2025-06-27,2025-06-30,2025-06-30,,1.62,1.458或1.62,0.000000,10派16.2元（含税，扣税后14.58或16.2元）,,1.62,2025-06-27
sh.601318,,,2025-03-20,,2025-06-27,2025-06-30,2025-06-30,,1.62,,0.000000,10派16.2元,,1.62,2025-06-27
sh.601318,,,2025-08-27,,2025-10-23,2025-10-24,2025-10-24,,0.95,,0.000000,10派9.5元,,0.95,2025-10-23
sh.601318,,,2025-08-27,2025-10-17,2025-10-23,2025-10-24,2025-10-24,,0.95,0.855或0.95,0.000000,10派9.5元（含税，扣税后8.55或9.5元）,,0.95,2025-10-23
sh.601318,,,2026-03-27,,2026-06-09,2026-06-10,2026-06-10,,1.75,,0.000000,10派17.5元,,1.75,2026-06-09
